frequency,transmission
1.000000000000000056e-01,7.893267464984213833e-01
1.010101010101010222e-01,8.838067590922183969e-01
1.020202020202020249e-01,9.521399049437305750e-01
1.030303030303030415e-01,9.702872897559623455e-01
1.040404040404040442e-01,9.419548403303065198e-01
1.050505050505050608e-01,8.877835753275625796e-01
1.060606060606060635e-01,8.313614907842483692e-01
1.070707070707070802e-01,7.885402465309956366e-01
1.080808080808080829e-01,7.632146764516928306e-01
1.090909090909090995e-01,7.492671927067853233e-01
1.101010101010101022e-01,7.361019888478117501e-01
1.111111111111111188e-01,7.145646809070758110e-01
1.121212121212121215e-01,6.807956404533670458e-01
1.131313131313131382e-01,6.370213145044220093e-01
1.141414141414141548e-01,5.897180178329229916e-01
1.151515151515151575e-01,5.464750462439451617e-01
1.161616161616161602e-01,5.130584760384893084e-01
1.171717171717171768e-01,4.917550084085132722e-01
1.181818181818181934e-01,4.813560297111058039e-01
1.191919191919191962e-01,4.784538865966834198e-01
1.202020202020201989e-01,4.793031248348126327e-01
1.212121212121212155e-01,4.814381980159971874e-01
1.222222222222222321e-01,4.844813553843135279e-01
1.232323232323232348e-01,4.899730104340879744e-01
1.242424242424242514e-01,5.004419172839846830e-01
1.252525252525252542e-01,5.181726369058597959e-01
1.262626262626262708e-01,5.441661959219612488e-01
1.272727272727272874e-01,5.776483816414776928e-01
1.282828282828282762e-01,6.162373391321159799e-01
1.292929292929292928e-01,6.566371958311870705e-01
1.303030303030303094e-01,6.955609366101505042e-01
1.313131313131313260e-01,7.305468900897622575e-01
1.323232323232323426e-01,7.604140399648258164e-01
1.333333333333333315e-01,7.852578258960466462e-01
1.343434343434343481e-01,8.060569889990758519e-01
1.353535353535353647e-01,8.240845038681228196e-01
1.363636363636363535e-01,8.403559660285343513e-01
1.373737373737373701e-01,8.553032027237319479e-01
1.383838383838383868e-01,8.687550413483013934e-01
1.393939393939394034e-01,8.801844662465196922e-01
1.404040404040404200e-01,8.890865550935391770e-01
1.414141414141414366e-01,8.953155753156099017e-01
1.424242424242424254e-01,8.992403818472395338e-01
1.434343434343434420e-01,9.016588089975239306e-01
1.444444444444444586e-01,9.035112728800704929e-01
1.454545454545454475e-01,9.055138678514705886e-01
1.464646464646464641e-01,9.078629019141087886e-01
1.474747474747474807e-01,9.101352635585664430e-01
1.484848484848484973e-01,9.114328230073077686e-01
1.494949494949495139e-01,9.107222148949670748e-01
1.505050505050505028e-01,9.072394569273694032e-01
1.515151515151515194e-01,9.007930001000395981e-01
1.525252525252525360e-01,8.918247504487483157e-01
1.535353535353535248e-01,8.811709975161345909e-01
1.545454545454545414e-01,8.695785393193341539e-01
1.555555555555555580e-01,8.571375576650583916e-01
1.565656565656565746e-01,8.428533153282127266e-01
1.575757575757575912e-01,8.245669968276433393e-01
1.585858585858586078e-01,7.993472316581092807e-01
1.595959595959595967e-01,7.643284041623704672e-01
1.606060606060606133e-01,7.178110590457513762e-01
1.616161616161616299e-01,6.603146611765184915e-01
1.626262626262626187e-01,5.952294494200042196e-01
1.636363636363636354e-01,5.287776360355223026e-01
1.646464646464646520e-01,4.691596491733029395e-01
1.656565656565656686e-01,4.249907111022190875e-01
1.666666666666666852e-01,4.033639625035708720e-01
1.676767676767677018e-01,4.080369545518532925e-01
1.686868686868686906e-01,4.382692255395205794e-01
1.696969696969697072e-01,4.887127520510607392e-01
1.707070707070706961e-01,5.504924294577085986e-01
1.717171717171717127e-01,6.132744652741061175e-01
1.727272727272727293e-01,6.678031748781823040e-01
1.737373737373737459e-01,7.081942808875794082e-01
1.747474747474747625e-01,7.332831558878282197e-01
1.757575757575757791e-01,7.465627465741309088e-01
1.767676767676767680e-01,7.546606723138151729e-01
1.777777777777777846e-01,7.647841750260695459e-01
1.787878787878787734e-01,7.819517842604721825e-01
1.797979797979797900e-01,8.069843419974995768e-01
1.808080808080808066e-01,8.360560040008776506e-01
1.818181818181818232e-01,8.621187065125023308e-01
1.828282828282828398e-01,8.778376571043267074e-01
1.838383838383838564e-01,8.790300947880802518e-01
1.848484848484848730e-01,8.672363100974448402e-01
1.858585858585858619e-01,8.501673762348477270e-01
1.868686868686868785e-01,8.394229995795708943e-01
1.878787878787878673e-01,8.459131291735305647e-01
1.888888888888888840e-01,8.745152754165594899e-01
1.898989898989899006e-01,9.202135245497877758e-01
1.909090909090909172e-01,9.678913425986698238e-01
1.919191919191919338e-01,9.968994253083897084e-01
1.929292929292929504e-01,9.896608615056555758e-01
1.939393939393939392e-01,9.414776375819817744e-01
1.949494949494949558e-01,8.672240266288632204e-01
1.959595959595959447e-01,8.006319706917556234e-01
1.969696969696969613e-01,7.839112854429750588e-01
1.979797979797979779e-01,8.493008810343189996e-01
1.989898989898989945e-01,9.987024002635560560e-01
2.000000000000000111e-01,1.190922054420985310e+00
